,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,amzn,<< enter a symbol,,,,
,NASDAQ,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,"Amazon.com, Inc.",,,,,
,,,,,,
,Current Price,,Change,% Change,,
,"3,110.82",,+95.07,+3.15%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,582,924M",48.02,1.12,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,NASDAQ:amzn,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 14, 2021","3,404.04","3,404.13","3,326.00","3,333.00","3,145,204"
,"Apr 15, 2021","3,371.00","3,397.00","3,352.00","3,379.09","3,233,580"
,"Apr 16, 2021","3,380.00","3,406.80","3,355.59","3,399.44","3,186,049"
,"Apr 19, 2021","3,390.33","3,435.93","3,360.16","3,372.01","2,725,405"
,"Apr 20, 2021","3,373.60","3,382.99","3,316.00","3,334.69","2,623,032"
,"Apr 21, 2021","3,316.00","3,362.86","3,303.81","3,362.02","2,211,166"
,"Apr 22, 2021","3,371.68","3,372.87","3,301.45","3,309.04","2,580,590"
,"Apr 23, 2021","3,319.10","3,375.00","3,308.50","3,340.88","3,196,652"
,"Apr 26, 2021","3,348.00","3,428.45","3,330.94","3,409.00","4,880,708"
,"Apr 27, 2021","3,443.47","3,460.00","3,398.01","3,417.43","3,827,140"
,"Apr 28, 2021","3,434.80","3,489.88","3,425.00","3,458.50","4,631,884"
,"Apr 29, 2021","3,505.10","3,514.45","3,435.00","3,471.31","7,682,381"
,"Apr 30, 2021","3,525.12","3,554.00","3,462.50","3,467.42","7,009,346"
,"May 3, 2021","3,484.73","3,486.65","3,372.70","3,386.49","5,875,530"
,"May 4, 2021","3,356.19","3,367.98","3,272.13","3,311.87","5,439,449"
,"May 5, 2021","3,338.86","3,354.70","3,264.36","3,270.54","3,711,308"
,"May 6, 2021","3,270.00","3,314.40","3,247.20","3,306.37","4,447,696"
,"May 7, 2021","3,319.09","3,330.89","3,289.07","3,291.61","4,710,276"
,"May 10, 2021","3,282.32","3,283.00","3,190.00","3,190.49","5,838,603"
,"May 11, 2021","3,136.28","3,238.00","3,127.37","3,223.91","4,619,781"
,"May 12, 2021","3,185.00","3,207.94","3,133.10","3,151.94","4,936,410"
,"May 13, 2021","3,185.47","3,203.84","3,133.00","3,161.47","3,356,877"
,"May 14, 2021","3,185.56","3,228.86","3,183.00","3,222.90","3,325,022"
,"May 17, 2021","3,245.93","3,292.75","3,234.59","3,270.39","3,723,925"
,"May 18, 2021","3,292.58","3,312.00","3,230.37","3,232.28","2,828,391"
,"May 19, 2021","3,195.00","3,234.75","3,184.00","3,231.80","2,679,708"
,"May 20, 2021","3,244.40","3,259.68","3,236.18","3,247.68","2,633,192"
,"May 21, 2021","3,250.00","3,256.69","3,197.01","3,203.08","4,104,882"
,"May 24, 2021","3,215.50","3,257.95","3,210.50","3,244.99","2,422,813"
,"May 25, 2021","3,266.67","3,279.82","3,213.76","3,259.05","3,261,109"
,"May 26, 2021","3,274.59","3,295.73","3,258.51","3,265.16","2,383,986"
,"May 27, 2021","3,256.00","3,260.36","3,230.04","3,230.11","2,561,157"
,"May 28, 2021","3,242.00","3,247.99","3,219.70","3,223.07","2,331,509"
,"Jun 1, 2021","3,243.50","3,250.98","3,209.06","3,218.65","2,430,045"
,"Jun 2, 2021","3,223.10","3,235.00","3,208.00","3,233.99","2,014,524"
,"Jun 3, 2021","3,204.23","3,214.44","3,184.03","3,187.01","2,398,293"
,"Jun 4, 2021","3,212.00","3,221.00","3,198.81","3,206.22","2,249,749"
,"Jun 7, 2021","3,197.33","3,208.00","3,172.20","3,198.01","2,215,756"
,"Jun 8, 2021","3,222.61","3,279.53","3,218.01","3,264.11","3,416,730"
,"Jun 9, 2021","3,272.87","3,297.58","3,270.70","3,281.15","2,455,530"
,"Jun 10, 2021","3,282.01","3,351.00","3,281.15","3,349.65","3,476,480"
,"Jun 11, 2021","3,349.65","3,366.58","3,333.45","3,346.83","2,817,352"
,"Jun 14, 2021","3,346.83","3,385.00","3,335.50","3,383.87","2,569,655"
,"Jun 15, 2021","3,384.00","3,396.99","3,363.11","3,383.13","2,426,200"
,"Jun 16, 2021","3,392.00","3,426.35","3,360.53","3,415.25","4,202,782"
,"Jun 17, 2021","3,403.18","3,497.20","3,401.00","3,489.24","5,136,531"
,"Jun 18, 2021","3,479.99","3,507.00","3,473.71","3,486.90","5,247,737"
,"Jun 21, 2021","3,476.42","3,482.00","3,434.00","3,453.96","3,277,130"
,"Jun 22, 2021","3,458.06","3,523.78","3,456.09","3,505.44","3,345,082"
,"Jun 23, 2021","3,505.00","3,521.00","3,483.20","3,503.82","2,813,341"
,"Jun 24, 2021","3,507.64","3,524.86","3,430.85","3,449.08","3,831,999"
,"Jun 25, 2021","3,464.00","3,464.82","3,394.18","3,401.46","3,940,997"
,"Jun 28, 2021","3,416.00","3,448.00","3,413.51","3,443.89","2,242,793"
,"Jun 29, 2021","3,438.82","3,456.03","3,423.03","3,448.14","2,098,439"
,"Jun 30, 2021","3,441.06","3,471.60","3,435.00","3,440.16","2,403,992"
,"Jul 1, 2021","3,434.61","3,457.00","3,409.42","3,432.97","2,037,053"
,"Jul 2, 2021","3,451.64","3,511.72","3,436.92","3,510.98","3,176,697"
